case_id,product,price,market_price,seller_known,payment,urgency,evidence,label,seller_user_id
C0164,Kompor Gas 2 Tungku,123rb,550rb,no,transfer,yes,no,high,U04144
C0165,Set Kosmetik Original,292rb,450rb,no,transfer,no,yes,medium,U09740
C0166,PS5,2.5jt,8jt,no,e-wallet (protected),no,no,medium,U04643
C0167,Meja Kerja Kayu,785rb,1.1jt,no,transfer,no,yes,medium,U00198
C0168,Samsung Galaxy S23,6.2jt,11.5jt,no,e-wallet (protected),no,no,high,U00710
C0169,Kompor Gas 2 Tungku,478rb,550rb,yes,COD,no,no,low,U01210
C0170,PS5,2.6jt,8jt,no,transfer,yes,no,high,U09877
C0171,Set Peralatan Dapur,302rb,950rb,no,transfer,yes,yes,high,U08554
C0172,Set Peralatan Dapur,566rb,950rb,yes,transfer,no,no,high,U07367
C0173,Kamera Mirrorless Sony,1.3jt,10.5jt,no,transfer,yes,no,high,U07022
C0174,Drone DJI Mini,5.4jt,7jt,no,transfer,yes,no,high,U06049
C0175,Speaker Bluetooth,386rb,700rb,yes,COD,yes,yes,medium,U09890
C0176,Jam Tangan Original,426rb,3.8jt,no,e-wallet (protected),yes,no,high,U03228
C0177,Kamera Mirrorless Sony,2.5jt,10.5jt,no,transfer,no,no,high,U08759
C0178,Samsung Galaxy S23,8.0jt,11.5jt,no,transfer,yes,no,high,U01701
C0179,Set Kosmetik Original,389rb,450rb,no,e-wallet (protected),no,yes,low,U00285
C0180,Motor Bekas Matic,13.9jt,14jt,yes,transfer,no,yes,low,U06353
C0181,Lemari Pakaian,862rb,2jt,no,e-wallet (protected),no,no,high,U08799
C0182,Kamera Mirrorless Sony,9.6jt,10.5jt,no,COD,no,yes,low,U03010
C0183,Laptop Macbook Air M2,15.8jt,15.5jt,yes,e-wallet (protected),no,no,low,U02208
C0184,Lemari Pakaian,1.5jt,2jt,yes,transfer,no,no,medium,U07803
C0185,Tablet iPad,2.6jt,7.5jt,yes,transfer,yes,no,high,U09469
C0186,Mesin Cuci,1.4jt,3.8jt,no,transfer,yes,no,high,U01292
C0187,Kamera Mirrorless Sony,3.1jt,10.5jt,no,transfer,yes,no,high,U07650
C0188,PS5,3.0jt,8jt,no,transfer,yes,no,high,U07873
C0189,Karpet Persia,2.3jt,2.2jt,no,COD,no,yes,low,U00197
C0190,Laptop Macbook Air M2,2.0jt,15.5jt,no,transfer,yes,no,high,U06890
C0191,iPhone 13,6.3jt,10jt,no,COD,no,yes,low,U09607
C0192,Kompor Gas 2 Tungku,119rb,550rb,no,COD,yes,no,high,U07885
C0193,Handphone Xiaomi,771rb,3jt,yes,transfer,yes,no,high,U08678
C0194,Printer Epson,347rb,1.4jt,no,transfer,no,no,high,U09124
C0195,Tablet iPad,914rb,7.5jt,no,transfer,yes,no,high,U02307
C0196,Sepeda Lipat,555rb,2.8jt,yes,transfer,yes,no,high,U06561
C0197,Samsung Galaxy S23,7.2jt,11.5jt,no,transfer,yes,no,high,U04059
C0198,Motor Bekas Matic,1.6jt,14jt,no,transfer,yes,no,high,U01411
C0199,Kamera Mirrorless Sony,10.3jt,10.5jt,yes,transfer,no,yes,low,U02728
C0200,AC 1 PK,2.7jt,3.8jt,no,transfer,yes,no,high,U04264
C0201,Tablet iPad,7.4jt,7.5jt,no,COD,no,no,low,U08577
C0202,TV LED 50 inch,1.7jt,6jt,no,transfer,yes,no,high,U05645
C0203,Mesin Cuci,2.9jt,3.8jt,no,transfer,no,yes,medium,U06228
C0204,Printer Epson,1.2jt,1.4jt,no,COD,yes,yes,medium,U03794
C0205,Kulkas 2 Pintu,1.8jt,5jt,no,transfer,yes,no,high,U06385
C0206,Laptop ASUS ROG,16.7jt,17jt,yes,transfer,no,yes,low,U00385
C0207,Sepatu Sneakers Original,1.6jt,1.6jt,yes,e-wallet (protected),no,no,low,U00638
C0208,Samsung Galaxy S23,2.8jt,11.5jt,no,transfer,yes,yes,high,U04686
C0209,Lemari Pakaian,224rb,2jt,no,transfer,yes,no,high,U08674
C0210,iPhone 13,3.4jt,10jt,no,transfer,yes,no,high,U05238
C0211,Kamera Mirrorless Sony,7.6jt,10.5jt,yes,COD,yes,no,medium,U03488
C0212,Karpet Persia,1.3jt,2.2jt,yes,transfer,yes,yes,high,U04561
C0213,Sofa 3 Dudukan,3.3jt,3.2jt,yes,e-wallet (protected),no,yes,low,U02880
C0214,Set Kosmetik Original,150rb,450rb,no,transfer,yes,no,high,U01472
C0215,Kursi Gaming,828rb,2.4jt,no,transfer,yes,no,high,U04234
C0216,Sepeda Lipat,300rb,2.8jt,no,transfer,yes,no,high,U02378
C0217,Perhiasan Emas 10gr,9.1jt,10jt,no,e-wallet (protected),no,no,medium,U07752
C0218,Samsung Galaxy S23,10.5jt,11.5jt,yes,COD,no,yes,low,U04448
C0219,Set Peralatan Dapur,730rb,950rb,yes,transfer,yes,no,high,U04089
C0220,Laptop Macbook Air M2,8.6jt,15.5jt,no,transfer,yes,no,high,U09626
C0221,Set Kosmetik Original,400rb,450rb,no,COD,no,yes,low,U04119
C0222,Jam Tangan Original,1.2jt,3.8jt,no,transfer,yes,no,high,U08316
C0223,Kompor Gas 2 Tungku,62rb,550rb,no,transfer,yes,no,high,U02437
C0224,Set Peralatan Dapur,916rb,950rb,no,COD,yes,yes,medium,U09740
C0225,Mesin Cuci,2.9jt,3.8jt,no,transfer,no,yes,medium,U06205
C0226,Meja Kerja Kayu,657rb,1.1jt,no,transfer,yes,no,high,U01039
C0227,Motor Bekas Matic,12.9jt,14jt,yes,COD,no,yes,low,U09813
C0228,Laptop Macbook Air M2,14.1jt,15.5jt,yes,transfer,no,no,medium,U05667
C0229,Kompor Gas 2 Tungku,386rb,550rb,no,e-wallet (protected),yes,no,high,U09832
C0230,Perhiasan Emas 10gr,5.1jt,10jt,no,transfer,yes,yes,high,U00085
C0231,iPhone 13,9.5jt,10jt,no,transfer,no,yes,medium,U04938
C0232,Meja Kerja Kayu,1.0jt,1.1jt,yes,COD,no,yes,low,U05116
C0233,Sofa 3 Dudukan,2.0jt,3.2jt,no,transfer,yes,no,high,U04728
C0234,Lemari Pakaian,290rb,2jt,no,transfer,yes,no,high,U03915
C0235,Handphone Xiaomi,2.9jt,3jt,yes,COD,no,yes,low,U05417
C0236,Jam Tangan Original,2.7jt,3.8jt,no,transfer,yes,yes,high,U04685
C0237,Printer Epson,430rb,1.4jt,no,transfer,yes,no,high,U04066
C0238,Kompor Gas 2 Tungku,503rb,550rb,yes,COD,no,no,low,U00379
C0239,iPhone 15 Pro,11.6jt,19.5jt,no,e-wallet (protected),yes,yes,medium,U04438
C0240,Drone DJI Mini,4.8jt,7jt,no,e-wallet (protected),no,no,medium,U03289
C0241,iPhone 13,7.5jt,10jt,yes,transfer,yes,yes,medium,U02310
C0242,Meja Kerja Kayu,821rb,1.1jt,no,e-wallet (protected),yes,no,high,U03294
C0243,Sofa 3 Dudukan,2.8jt,3.2jt,no,transfer,yes,no,high,U07396
C0244,TV LED 50 inch,4.4jt,6jt,no,transfer,yes,yes,high,U00826
C0245,Sofa 3 Dudukan,642rb,3.2jt,no,e-wallet (protected),yes,no,high,U04224
C0246,Kursi Gaming,506rb,2.4jt,no,e-wallet (protected),yes,no,high,U03677
C0247,Drone DJI Mini,1.6jt,7jt,no,transfer,yes,no,high,U06142
C0248,iPhone 13,9.9jt,10jt,yes,COD,no,yes,low,U03548
C0249,Kompor Gas 2 Tungku,454rb,550rb,no,COD,yes,no,medium,U00939
C0250,iPhone 13,2.9jt,10jt,no,transfer,yes,no,high,U01664
C0251,Lemari Pakaian,203rb,2jt,no,e-wallet (protected),yes,no,high,U02150
C0252,Tas Branded,1.6jt,4.5jt,no,transfer,no,no,high,U00188
C0253,Drone DJI Mini,7.0jt,7jt,no,COD,yes,yes,low,U04292
C0254,Karpet Persia,1.0jt,2.2jt,no,transfer,yes,no,high,U00037
C0255,Perhiasan Emas 10gr,9.1jt,10jt,no,e-wallet (protected),no,yes,low,U05879
C0256,AC 1 PK,3.0jt,3.8jt,yes,transfer,no,no,medium,U07655
C0257,PS5,2.6jt,8jt,no,COD,yes,no,high,U03496
C0258,Handphone Xiaomi,2.9jt,3jt,no,COD,no,yes,low,U04302
C0259,Lemari Pakaian,2.1jt,2jt,yes,e-wallet (protected),no,yes,low,U02814
C0260,Handphone Xiaomi,2.7jt,3jt,yes,transfer,no,yes,low,U06028
C0261,iPhone 13,2.6jt,10jt,no,transfer,yes,no,high,U07555
C0262,Kursi Gaming,2.5jt,2.4jt,yes,transfer,no,yes,low,U09819
C0263,Sepatu Sneakers Original,499rb,1.6jt,no,transfer,yes,no,high,U02794
C0264,Kompor Gas 2 Tungku,494rb,550rb,no,e-wallet (protected),no,yes,low,U09108
C0265,Samsung Galaxy S23,1.6jt,11.5jt,no,e-wallet (protected),yes,no,high,U09149
C0266,TV LED 50 inch,1.5jt,6jt,no,transfer,yes,no,high,U07824
C0267,Tablet iPad,6.6jt,7.5jt,yes,transfer,no,yes,low,U09309
C0268,Printer Epson,1.3jt,1.4jt,yes,COD,no,yes,low,U05097
C0269,AC 1 PK,1.6jt,3.8jt,no,e-wallet (protected),no,no,medium,U07274
C0270,Handphone Xiaomi,1.1jt,3jt,no,transfer,yes,no,high,U01786
C0271,Motor Bekas Matic,14.6jt,14jt,no,COD,yes,yes,medium,U06337
C0272,Motor Bekas Matic,10.6jt,14jt,yes,COD,no,yes,low,U04776
C0273,Printer Epson,960rb,1.4jt,no,transfer,no,yes,medium,U08127
C0274,iPhone 13,2.5jt,10jt,no,transfer,no,no,high,U02187
C0275,Speaker Bluetooth,678rb,700rb,no,COD,no,yes,low,U01241
C0276,AC 1 PK,3.8jt,3.8jt,yes,transfer,no,no,medium,U00194
C0277,TV LED 50 inch,4.6jt,6jt,no,transfer,yes,no,high,U08649
C0278,Sepeda Lipat,1.6jt,2.8jt,no,transfer,yes,yes,high,U05768
C0279,Meja Kerja Kayu,593rb,1.1jt,no,transfer,no,no,high,U07697
C0280,Meja Kerja Kayu,1.1jt,1.1jt,no,COD,no,yes,low,U08330
C0281,Tablet iPad,3.9jt,7.5jt,no,transfer,yes,yes,high,U07251
C0282,Sofa 3 Dudukan,1.7jt,3.2jt,no,transfer,yes,no,high,U05007
C0283,Kulkas 2 Pintu,3.6jt,5jt,yes,COD,yes,no,medium,U07706
C0284,AC 1 PK,3.3jt,3.8jt,no,COD,yes,yes,medium,U04417
C0285,Printer Epson,1.5jt,1.4jt,yes,COD,no,yes,low,U07195
C0286,AC 1 PK,2.2jt,3.8jt,no,transfer,no,yes,high,U06856
C0287,Sepatu Sneakers Original,1.7jt,1.6jt,yes,e-wallet (protected),yes,yes,low,U04486
C0288,iPhone 13,5.8jt,10jt,yes,transfer,yes,no,high,U08770
C0289,Mesin Cuci,3.4jt,3.8jt,yes,e-wallet (protected),no,yes,low,U03358
C0290,TV LED 50 inch,6.1jt,6jt,no,transfer,no,yes,medium,U01594
C0291,PS5,7.7jt,8jt,yes,e-wallet (protected),yes,no,medium,U09126
C0292,iPhone 13,1.3jt,10jt,no,COD,no,yes,medium,U03505
C0293,Sepeda Lipat,2.4jt,2.8jt,yes,COD,no,yes,low,U05807
C0294,Karpet Persia,1.5jt,2.2jt,yes,transfer,no,no,medium,U02326
C0295,AC 1 PK,397rb,3.8jt,no,transfer,yes,no,high,U07310
C0296,Karpet Persia,2.0jt,2.2jt,yes,transfer,no,yes,low,U07813
C0297,Samsung Galaxy S23,7.4jt,11.5jt,no,e-wallet (protected),no,no,medium,U02316
C0298,Set Peralatan Dapur,311rb,950rb,yes,transfer,yes,no,high,U06954
C0299,iPhone 15 Pro,2.5jt,19.5jt,no,transfer,yes,no,high,U04653
C0300,Perhiasan Emas 10gr,5.1jt,10jt,yes,e-wallet (protected),yes,no,medium,U06511
C0301,Karpet Persia,2.3jt,2.2jt,no,transfer,no,no,high,U09243
C0302,iPhone 15 Pro,6.0jt,19.5jt,no,transfer,yes,yes,high,U07734
C0303,Drone DJI Mini,7.1jt,7jt,yes,e-wallet (protected),no,no,low,U04824
C0304,Tablet iPad,2.7jt,7.5jt,no,e-wallet (protected),no,no,medium,U01682
C0305,TV LED 50 inch,1.9jt,6jt,no,e-wallet (protected),yes,no,high,U05488
C0306,Tas Branded,4.3jt,4.5jt,yes,COD,no,yes,low,U09227
C0307,Mesin Cuci,1.3jt,3.8jt,no,transfer,yes,no,high,U01138
C0308,TV LED 50 inch,3.2jt,6jt,no,transfer,yes,yes,high,U01004
C0309,PS5,5.6jt,8jt,no,COD,no,no,medium,U05120
C0310,Speaker Bluetooth,281rb,700rb,yes,transfer,yes,no,high,U07843
C0311,Perhiasan Emas 10gr,1.8jt,10jt,no,transfer,yes,no,high,U05794
C0312,Tas Branded,4.0jt,4.5jt,yes,COD,no,yes,low,U03686
C0313,Printer Epson,430rb,1.4jt,no,transfer,yes,no,high,U05434
C0314,Kompor Gas 2 Tungku,209rb,550rb,no,transfer,yes,no,high,U05924
C0315,Laptop Macbook Air M2,11.0jt,15.5jt,no,transfer,no,yes,medium,U05254
C0316,Mesin Cuci,1.2jt,3.8jt,no,transfer,yes,no,high,U06636
C0317,Kamera Mirrorless Sony,10.1jt,10.5jt,yes,transfer,no,yes,low,U08173
C0318,Kursi Gaming,2.4jt,2.4jt,no,COD,no,no,medium,U03580
C0319,Tas Branded,4.1jt,4.5jt,yes,COD,no,yes,low,U03401
C0320,Speaker Bluetooth,448rb,700rb,no,e-wallet (protected),yes,no,high,U03845
C0321,Kursi Gaming,691rb,2.4jt,no,transfer,yes,no,high,U07367
C0322,PS5,924rb,8jt,no,transfer,yes,no,high,U06527
C0323,Laptop ASUS ROG,15.3jt,17jt,yes,transfer,no,yes,low,U02750
