case_id;known_info;missing_info;question;answer
C0019;"harga sesuai pasar; penjual tidak dikenal; pembayaran COD";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0020;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0020;"harga sesuai pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0020;"harga sesuai pasar; penjual tidak dikenal; pembayaran COD";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0021;harga di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0021;"harga di bawah pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0021;"harga di bawah pasar; penjual dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0022;harga di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0022;"harga di bawah pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0022;"harga di bawah pasar; penjual dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0023;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0023;"harga sesuai pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0023;"harga sesuai pasar; penjual dikenal; pembayaran e-wallet dengan proteksi";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0024;harga jauh di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0024;"harga jauh di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0024;"harga jauh di bawah pasar; penjual tidak dikenal; pembayaran e-wallet dengan proteksi";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0025;harga di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0025;"harga di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0025;"harga di bawah pasar; penjual tidak dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0026;harga jauh di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0026;"harga jauh di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0026;"harga jauh di bawah pasar; penjual tidak dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0027;harga di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0027;"harga di bawah pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0027;"harga di bawah pasar; penjual dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0028;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0028;"harga sesuai pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0028;"harga sesuai pasar; penjual tidak dikenal; pembayaran e-wallet dengan proteksi";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0029;harga di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0029;"harga di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0029;"harga di bawah pasar; penjual tidak dikenal; pembayaran COD";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0030;harga jauh di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0030;"harga jauh di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0030;"harga jauh di bawah pasar; penjual tidak dikenal; pembayaran e-wallet dengan proteksi";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0031;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0031;"harga sesuai pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0031;"harga sesuai pasar; penjual dikenal; pembayaran e-wallet dengan proteksi";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0032;harga di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0032;"harga di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0032;"harga di bawah pasar; penjual tidak dikenal; pembayaran COD";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0033;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0033;"harga sesuai pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0033;"harga sesuai pasar; penjual dikenal; pembayaran e-wallet dengan proteksi";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0034;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0034;"harga sesuai pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0034;"harga sesuai pasar; penjual dikenal; pembayaran COD";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0035;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0035;"harga sesuai pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0035;"harga sesuai pasar; penjual tidak dikenal; pembayaran COD";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0036;harga jauh di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0036;"harga jauh di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0036;"harga jauh di bawah pasar; penjual tidak dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0037;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0037;"harga sesuai pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0037;"harga sesuai pasar; penjual dikenal; pembayaran COD";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0038;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0038;"harga sesuai pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0038;"harga sesuai pasar; penjual dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0039;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0039;"harga sesuai pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0039;"harga sesuai pasar; penjual dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0040;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0040;"harga sesuai pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0040;"harga sesuai pasar; penjual tidak dikenal; pembayaran e-wallet dengan proteksi";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0041;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0041;"harga sesuai pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0041;"harga sesuai pasar; penjual tidak dikenal; pembayaran COD";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0042;harga di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0042;"harga di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0042;"harga di bawah pasar; penjual tidak dikenal; pembayaran e-wallet dengan proteksi";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0043;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0043;"harga sesuai pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0043;"harga sesuai pasar; penjual dikenal; pembayaran e-wallet dengan proteksi";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0044;harga jauh di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0044;"harga jauh di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0044;"harga jauh di bawah pasar; penjual tidak dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0045;harga jauh di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0045;"harga jauh di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0045;"harga jauh di bawah pasar; penjual tidak dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0046;harga jauh di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0046;"harga jauh di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0046;"harga jauh di bawah pasar; penjual tidak dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0047;harga jauh di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0047;"harga jauh di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0047;"harga jauh di bawah pasar; penjual tidak dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0048;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0048;"harga sesuai pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0048;"harga sesuai pasar; penjual dikenal; pembayaran e-wallet dengan proteksi";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0049;harga di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0049;"harga di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0049;"harga di bawah pasar; penjual tidak dikenal; pembayaran e-wallet dengan proteksi";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0050;harga jauh di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0050;"harga jauh di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0050;"harga jauh di bawah pasar; penjual tidak dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0051;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0051;"harga sesuai pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0051;"harga sesuai pasar; penjual dikenal; pembayaran COD";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0052;harga jauh di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0052;"harga jauh di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0052;"harga jauh di bawah pasar; penjual tidak dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0053;harga di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0053;"harga di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0053;"harga di bawah pasar; penjual tidak dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0054;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0054;"harga sesuai pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0054;"harga sesuai pasar; penjual dikenal; pembayaran e-wallet dengan proteksi";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0055;harga di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0055;"harga di bawah pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0055;"harga di bawah pasar; penjual dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0056;harga di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0056;"harga di bawah pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0056;"harga di bawah pasar; penjual dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0057;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0057;"harga sesuai pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0057;"harga sesuai pasar; penjual tidak dikenal; pembayaran COD";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0058;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0058;"harga sesuai pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0058;"harga sesuai pasar; penjual dikenal; pembayaran COD";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0059;harga di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0059;"harga di bawah pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0059;"harga di bawah pasar; penjual dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0060;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0060;"harga sesuai pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0060;"harga sesuai pasar; penjual tidak dikenal; pembayaran COD";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0061;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0061;"harga sesuai pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0061;"harga sesuai pasar; penjual tidak dikenal; pembayaran COD";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0062;harga di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0062;"harga di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0062;"harga di bawah pasar; penjual tidak dikenal; pembayaran e-wallet dengan proteksi";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0063;harga jauh di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0063;"harga jauh di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0063;"harga jauh di bawah pasar; penjual tidak dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0064;harga jauh di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0064;"harga jauh di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0064;"harga jauh di bawah pasar; penjual tidak dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0065;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0065;"harga sesuai pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0065;"harga sesuai pasar; penjual tidak dikenal; pembayaran e-wallet dengan proteksi";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0066;harga di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0066;"harga di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0066;"harga di bawah pasar; penjual tidak dikenal; pembayaran e-wallet dengan proteksi";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0067;harga di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0067;"harga di bawah pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0067;"harga di bawah pasar; penjual dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0068;harga jauh di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0068;"harga jauh di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0068;"harga jauh di bawah pasar; penjual tidak dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0069;harga jauh di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0069;"harga jauh di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0069;"harga jauh di bawah pasar; penjual tidak dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0070;harga jauh di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0070;"harga jauh di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
C0070;"harga jauh di bawah pasar; penjual tidak dikenal; transfer langsung diminta";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;no
C0071;harga sesuai pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;yes
C0071;"harga sesuai pasar; penjual dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;no
C0071;"harga sesuai pasar; penjual dikenal; pembayaran COD";product evidence;Apakah penjual sudah memberikan foto atau video barang asli?;yes
C0072;harga jauh di bawah pasar;seller relationship;Apakah Anda mengenal penjual ini atau pernah membeli dari akun ini sebelumnya?;no
C0072;"harga jauh di bawah pasar; penjual tidak dikenal";payment method;Apakah penjual meminta Anda transfer langsung sebelum barang dikirim?;yes
